date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:09:25	56120/56120	---M--	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202017%2015:49:38%20GMT	http://thememinister.com/crm/rtask.html	E:/Ashutosh%20Work/HTMLPATH/Demo/thememinister.com/crm/rtask.html	(from http://thememinister.com/crm/)
11:09:27	52038/52038	---M--	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202017%2016:01:10%20GMT	http://thememinister.com/crm/atask.html	E:/Ashutosh%20Work/HTMLPATH/Demo/thememinister.com/crm/atask.html	(from http://thememinister.com/crm/)
11:09:29	45676/45676	---M--	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202017%2015:59:12%20GMT	http://thememinister.com/crm/cpayment.html	E:/Ashutosh%20Work/HTMLPATH/Demo/thememinister.com/crm/cpayment.html	(from http://thememinister.com/crm/)
11:09:30	45684/45684	---M--	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202017%2015:57:52%20GMT	http://thememinister.com/crm/emanage.html	E:/Ashutosh%20Work/HTMLPATH/Demo/thememinister.com/crm/emanage.html	(from http://thememinister.com/crm/)
11:09:31	45683/45683	---M--	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202017%2015:58:20%20GMT	http://thememinister.com/crm/ecategory.html	E:/Ashutosh%20Work/HTMLPATH/Demo/thememinister.com/crm/ecategory.html	(from http://thememinister.com/crm/)
11:09:32	39527/39527	---M--	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202017%2015:50:32%20GMT	http://thememinister.com/crm/preport.html	E:/Ashutosh%20Work/HTMLPATH/Demo/thememinister.com/crm/preport.html	(from http://thememinister.com/crm/)
11:09:33	44693/44693	---M--	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202017%2015:59:06%20GMT	http://thememinister.com/crm/creport.html	E:/Ashutosh%20Work/HTMLPATH/Demo/thememinister.com/crm/creport.html	(from http://thememinister.com/crm/)
11:09:34	58983/58983	---M--	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202017%2015:57:32%20GMT	http://thememinister.com/crm/ereport.html	E:/Ashutosh%20Work/HTMLPATH/Demo/thememinister.com/crm/ereport.html	(from http://thememinister.com/crm/)
11:09:35	43891/43891	---M--	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202017%2015:54:46%20GMT	http://thememinister.com/crm/incomexp.html	E:/Ashutosh%20Work/HTMLPATH/Demo/thememinister.com/crm/incomexp.html	(from http://thememinister.com/crm/)
11:09:36	47718/47718	---M--	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202017%2015:48:34%20GMT	http://thememinister.com/crm/thistory.html	E:/Ashutosh%20Work/HTMLPATH/Demo/thememinister.com/crm/thistory.html	(from http://thememinister.com/crm/)
